"reg";"cl_age90";"jour";"hosp";"rea";"dc";"rad"
"01";0;"2020-03-18";0;0;0;0
"01";9;"2020-03-18";0;0;0;0
"01";19;"2020-03-18";0;0;0;0
"01";29;"2020-03-18";0;0;0;0
"01";39;"2020-03-18";0;0;0;0
"01";49;"2020-03-18";0;0;0;0
"01";59;"2020-03-18";0;0;0;0
"01";69;"2020-03-18";0;0;0;0
"01";79;"2020-03-18";0;0;0;0
"01";89;"2020-03-18";0;0;0;0
"01";90;"2020-03-18";0;0;0;0
"02";0;"2020-03-18";16;5;1;0
"02";9;"2020-03-18";0;0;0;0
"02";19;"2020-03-18";0;0;0;0
"02";29;"2020-03-18";2;1;0;0
"02";39;"2020-03-18";2;0;0;0
"02";49;"2020-03-18";2;1;0;0
"02";59;"2020-03-18";5;0;0;0
"02";69;"2020-03-18";4;3;0;0
"02";79;"2020-03-18";1;0;0;0
"02";89;"2020-03-18";0;0;1;0
"02";90;"2020-03-18";0;0;0;0
"03";0;"2020-03-18";0;0;0;0
"03";9;"2020-03-18";0;0;0;0
"03";19;"2020-03-18";0;0;0;0
"03";29;"2020-03-18";0;0;0;0
"03";39;"2020-03-18";0;0;0;0
"03";49;"2020-03-18";0;0;0;0
"03";59;"2020-03-18";0;0;0;0
"03";69;"2020-03-18";0;0;0;0
"03";79;"2020-03-18";0;0;0;0
"03";89;"2020-03-18";0;0;0;0
"03";90;"2020-03-18";0;0;0;0
"04";0;"2020-03-18";2;2;0;0
"04";9;"2020-03-18";0;0;0;0
"04";19;"2020-03-18";0;0;0;0
"04";29;"2020-03-18";0;0;0;0
"04";39;"2020-03-18";0;0;0;0
"04";49;"2020-03-18";0;0;0;0
"04";59;"2020-03-18";0;0;0;0
"04";69;"2020-03-18";0;0;0;0
"04";79;"2020-03-18";1;1;0;0
"04";89;"2020-03-18";1;1;0;0
"04";90;"2020-03-18";0;0;0;0
"06";0;"2020-03-18";0;0;0;0
"06";9;"2020-03-18";0;0;0;0
"06";19;"2020-03-18";0;0;0;0
"06";29;"2020-03-18";0;0;0;0
"06";39;"2020-03-18";0;0;0;0
"06";49;"2020-03-18";0;0;0;0
"06";59;"2020-03-18";0;0;0;0
"06";69;"2020-03-18";0;0;0;0
"06";79;"2020-03-18";0;0;0;0
"06";89;"2020-03-18";0;0;0;0
"06";90;"2020-03-18";0;0;0;0
"11";0;"2020-03-18";957;294;36;129
"11";9;"2020-03-18";3;2;0;1
"11";19;"2020-03-18";6;1;0;0
"11";29;"2020-03-18";11;2;0;18
"11";39;"2020-03-18";42;13;0;16
"11";49;"2020-03-18";89;27;4;11
"11";59;"2020-03-18";177;67;0;30
"11";69;"2020-03-18";185;73;2;18
"11";79;"2020-03-18";200;70;8;18
"11";89;"2020-03-18";168;30;16;12
"11";90;"2020-03-18";63;4;4;3
"24";0;"2020-03-18";14;5;1;0
"24";9;"2020-03-18";0;0;0;0
"24";19;"2020-03-18";0;0;0;0
"24";29;"2020-03-18";0;0;0;0
"24";39;"2020-03-18";0;0;0;0
"24";49;"2020-03-18";0;0;0;0
"24";59;"2020-03-18";3;0;0;0
"24";69;"2020-03-18";3;1;0;0
"24";79;"2020-03-18";3;2;1;0
"24";89;"2020-03-18";4;2;0;0
"24";90;"2020-03-18";1;0;0;0
"27";0;"2020-03-18";168;33;6;20
"27";9;"2020-03-18";0;0;0;0
"27";19;"2020-03-18";0;0;0;1
"27";29;"2020-03-18";1;0;0;3
"27";39;"2020-03-18";4;1;0;3
"27";49;"2020-03-18";9;1;0;2
"27";59;"2020-03-18";17;2;0;3
"27";69;"2020-03-18";32;10;0;1
"27";79;"2020-03-18";41;13;1;0
"27";89;"2020-03-18";50;6;3;5
"27";90;"2020-03-18";14;0;2;2
"28";0;"2020-03-18";45;4;3;6
"28";9;"2020-03-18";0;0;0;0
"28";19;"2020-03-18";0;0;0;0
"28";29;"2020-03-18";1;0;0;0
"28";39;"2020-03-18";1;0;0;0
"28";49;"2020-03-18";3;0;0;0
"28";59;"2020-03-18";4;0;0;2
"28";69;"2020-03-18";8;2;1;3
"28";79;"2020-03-18";15;2;1;1
"28";89;"2020-03-18";10;0;1;0
"28";90;"2020-03-18";3;0;0;0
"32";0;"2020-03-18";313;87;21;77
"32";9;"2020-03-18";10;0;0;10
"32";19;"2020-03-18";4;1;0;2
"32";29;"2020-03-18";7;2;0;7
"32";39;"2020-03-18";14;4;0;12
"32";49;"2020-03-18";16;3;0;13
"32";59;"2020-03-18";37;13;0;10
"32";69;"2020-03-18";55;25;3;7
"32";79;"2020-03-18";73;31;6;7
"32";89;"2020-03-18";65;8;10;8
"32";90;"2020-03-18";32;0;2;1
"44";0;"2020-03-18";879;204;120;146
"44";9;"2020-03-18";4;0;0;30
"44";19;"2020-03-18";4;2;0;1
"44";29;"2020-03-18";12;1;1;2
"44";39;"2020-03-18";22;6;0;5
"44";49;"2020-03-18";41;14;1;12
"44";59;"2020-03-18";92;30;3;26
"44";69;"2020-03-18";181;69;9;21
"44";79;"2020-03-18";206;58;21;21
"44";89;"2020-03-18";197;22;53;17
"44";90;"2020-03-18";76;0;32;4
"52";0;"2020-03-18";44;4;1;36
"52";9;"2020-03-18";0;0;0;0
"52";19;"2020-03-18";0;0;0;0
"52";29;"2020-03-18";2;0;0;6
"52";39;"2020-03-18";2;0;0;2
"52";49;"2020-03-18";2;1;0;9
"52";59;"2020-03-18";6;0;0;7
"52";69;"2020-03-18";8;1;0;9
"52";79;"2020-03-18";9;1;0;2
"52";89;"2020-03-18";10;1;0;1
"52";90;"2020-03-18";5;0;1;0
"53";0;"2020-03-18";60;23;7;69
"53";9;"2020-03-18";0;0;0;0
"53";19;"2020-03-18";0;0;0;1
"53";29;"2020-03-18";0;0;0;2
"53";39;"2020-03-18";3;0;0;4
"53";49;"2020-03-18";0;0;0;6
"53";59;"2020-03-18";4;2;0;10
"53";69;"2020-03-18";11;2;0;19
"53";79;"2020-03-18";19;11;0;18
"53";89;"2020-03-18";22;8;2;7
"53";90;"2020-03-18";1;0;5;2
"75";0;"2020-03-18";41;12;2;11
"75";9;"2020-03-18";0;0;0;0
"75";19;"2020-03-18";0;0;0;1
"75";29;"2020-03-18";2;2;0;0
"75";39;"2020-03-18";1;0;0;2
"75";49;"2020-03-18";3;1;0;0
"75";59;"2020-03-18";2;1;0;3
"75";69;"2020-03-18";11;4;0;2
"75";79;"2020-03-18";8;2;0;1
"75";89;"2020-03-18";9;2;1;0
"75";90;"2020-03-18";4;0;1;1
"76";0;"2020-03-18";95;39;6;51
"76";9;"2020-03-18";2;0;0;2
"76";19;"2020-03-18";0;0;0;3
"76";29;"2020-03-18";2;0;0;3
"76";39;"2020-03-18";3;0;0;8
"76";49;"2020-03-18";3;1;0;8
"76";59;"2020-03-18";13;5;1;13
"76";69;"2020-03-18";24;13;0;3
"76";79;"2020-03-18";29;14;1;10
"76";89;"2020-03-18";17;6;4;1
"76";90;"2020-03-18";1;0;0;0
"84";0;"2020-03-18";172;35;7;69
"84";9;"2020-03-18";1;0;0;1
"84";19;"2020-03-18";0;0;0;2
"84";29;"2020-03-18";3;0;0;7
"84";39;"2020-03-18";4;0;1;14
"84";49;"2020-03-18";11;3;0;6
"84";59;"2020-03-18";18;8;0;9
"84";69;"2020-03-18";24;9;1;19
"84";79;"2020-03-18";51;13;2;6
"84";89;"2020-03-18";41;2;3;4
"84";90;"2020-03-18";11;0;0;1
"93";0;"2020-03-18";166;24;7;202
"93";9;"2020-03-18";0;0;0;5
"93";19;"2020-03-18";6;0;0;14
"93";29;"2020-03-18";7;1;0;28
"93";39;"2020-03-18";14;0;0;23
"93";49;"2020-03-18";22;1;0;40
"93";59;"2020-03-18";29;4;0;39
"93";69;"2020-03-18";38;8;1;26
"93";79;"2020-03-18";29;8;1;20
"93";89;"2020-03-18";15;2;4;7
"93";90;"2020-03-18";6;0;1;0
"94";0;"2020-03-18";0;0;0;0
"94";9;"2020-03-18";0;0;0;0
"94";19;"2020-03-18";0;0;0;0
"94";29;"2020-03-18";0;0;0;0
"94";39;"2020-03-18";0;0;0;0
"94";49;"2020-03-18";0;0;0;0
"94";59;"2020-03-18";0;0;0;0
"94";69;"2020-03-18";0;0;0;0
"94";79;"2020-03-18";0;0;0;0
"94";89;"2020-03-18";0;0;0;0
"94";90;"2020-03-18";0;0;0;0
"01";0;"2020-03-19";0;0;0;0
"01";9;"2020-03-19";0;0;0;0
"01";19;"2020-03-19";0;0;0;0
"01";29;"2020-03-19";0;0;0;0
"01";39;"2020-03-19";0;0;0;0
"01";49;"2020-03-19";0;0;0;0
"01";59;"2020-03-19";0;0;0;0
"01";69;"2020-03-19";0;0;0;0
"01";79;"2020-03-19";0;0;0;0
"01";89;"2020-03-19";0;0;0;0
"01";90;"2020-03-19";0;0;0;0
"02";0;"2020-03-19";17;5;1;0
"02";9;"2020-03-19";0;0;0;0
"02";19;"2020-03-19";0;0;0;0
"02";29;"2020-03-19";2;1;0;0
"02";39;"2020-03-19";2;0;0;0
"02";49;"2020-03-19";3;1;0;0
"02";59;"2020-03-19";5;0;0;0
"02";69;"2020-03-19";4;3;0;0
"02";79;"2020-03-19";1;0;0;0
"02";89;"2020-03-19";0;0;1;0
"02";90;"2020-03-19";0;0;0;0
"03";0;"2020-03-19";0;0;0;0
"03";9;"2020-03-19";0;0;0;0
"03";19;"2020-03-19";0;0;0;0
"03";29;"2020-03-19";0;0;0;0
"03";39;"2020-03-19";0;0;0;0
"03";49;"2020-03-19";0;0;0;0
"03";59;"2020-03-19";0;0;0;0
"03";69;"2020-03-19";0;0;0;0
"03";79;"2020-03-19";0;0;0;0
"03";89;"2020-03-19";0;0;0;0
"03";90;"2020-03-19";0;0;0;0
"04";0;"2020-03-19";2;2;0;0
"04";9;"2020-03-19";0;0;0;0
"04";19;"2020-03-19";0;0;0;0
"04";29;"2020-03-19";0;0;0;0
"04";39;"2020-03-19";0;0;0;0
"04";49;"2020-03-19";0;0;0;0
"04";59;"2020-03-19";0;0;0;0
"04";69;"2020-03-19";0;0;0;0
"04";79;"2020-03-19";1;1;0;0
"04";89;"2020-03-19";1;1;0;0
"04";90;"2020-03-19";0;0;0;0
"06";0;"2020-03-19";0;0;0;0
"06";9;"2020-03-19";0;0;0;0
"06";19;"2020-03-19";0;0;0;0
"06";29;"2020-03-19";0;0;0;0
"06";39;"2020-03-19";0;0;0;0
"06";49;"2020-03-19";0;0;0;0
"06";59;"2020-03-19";0;0;0;0
"06";69;"2020-03-19";0;0;0;0
"06";79;"2020-03-19";0;0;0;0
"06";89;"2020-03-19";0;0;0;0
"06";90;"2020-03-19";0;0;0;0
"11";0;"2020-03-19";1482;410;73;251
"11";9;"2020-03-19";6;2;0;5
"11";19;"2020-03-19";5;2;0;2
"11";29;"2020-03-19";22;4;0;27
"11";39;"2020-03-19";80;22;0;33
"11";49;"2020-03-19";144;42;4;24
"11";59;"2020-03-19";249;98;2;57
"11";69;"2020-03-19";283;93;8;41
"11";79;"2020-03-19";301;92;19;30
"11";89;"2020-03-19";251;46;30;22
"11";90;"2020-03-19";102;3;6;7
"24";0;"2020-03-19";37;11;1;3
"24";9;"2020-03-19";0;0;0;0
"24";19;"2020-03-19";0;0;0;0
"24";29;"2020-03-19";1;0;0;0
"24";39;"2020-03-19";0;0;0;0
"24";49;"2020-03-19";1;0;0;1
"24";59;"2020-03-19";2;1;0;2
"24";69;"2020-03-19";10;3;0;0
"24";79;"2020-03-19";10;5;1;0
"24";89;"2020-03-19";10;2;0;0
"24";90;"2020-03-19";3;0;0;0
"27";0;"2020-03-19";217;63;19;55
"27";9;"2020-03-19";0;0;0;0
"27";19;"2020-03-19";0;0;0;1
"27";29;"2020-03-19";1;1;0;6
"27";39;"2020-03-19";5;1;0;5
"27";49;"2020-03-19";13;2;0;4
"27";59;"2020-03-19";25;11;1;12
"27";69;"2020-03-19";46;21;1;2
"27";79;"2020-03-19";50;17;5;5
"27";89;"2020-03-19";56;10;9;13
"27";90;"2020-03-19";21;0;3;6
"28";0;"2020-03-19";54;11;5;11
"28";9;"2020-03-19";0;0;0;0
"28";19;"2020-03-19";0;0;0;0
"28";29;"2020-03-19";1;0;0;0
"28";39;"2020-03-19";1;0;0;0
"28";49;"2020-03-19";2;0;0;2
"28";59;"2020-03-19";5;1;0;3
"28";69;"2020-03-19";11;5;1;4
"28";79;"2020-03-19";17;3;1;1
"28";89;"2020-03-19";13;2;2;1
"28";90;"2020-03-19";4;0;1;0
"32";0;"2020-03-19";417;116;46;140
"32";9;"2020-03-19";12;0;0;14
"32";19;"2020-03-19";5;1;0;3
"32";29;"2020-03-19";13;2;0;10
"32";39;"2020-03-19";14;4;0;25
"32";49;"2020-03-19";25;4;0;21
"32";59;"2020-03-19";45;20;0;22
"32";69;"2020-03-19";70;31;6;11
"32";79;"2020-03-19";91;45;14;17
"32";89;"2020-03-19";102;8;21;12
"32";90;"2020-03-19";38;0;5;2
"44";0;"2020-03-19";1196;259;158;221
"44";9;"2020-03-19";7;0;0;33
"44";19;"2020-03-19";2;2;0;3
"44";29;"2020-03-19";11;1;1;11
"44";39;"2020-03-19";27;9;0;14
"44";49;"2020-03-19";53;19;2;18
"44";59;"2020-03-19";131;47;4;34
"44";69;"2020-03-19";245;84;13;31
"44";79;"2020-03-19";285;72;28;34
"44";89;"2020-03-19";287;20;74;26
"44";90;"2020-03-19";101;0;34;9
"52";0;"2020-03-19";66;14;1;54
"52";9;"2020-03-19";0;0;0;0
"52";19;"2020-03-19";0;0;0;0
"52";29;"2020-03-19";1;0;0;7
"52";39;"2020-03-19";1;0;0;3
"52";49;"2020-03-19";4;1;0;14
"52";59;"2020-03-19";6;2;0;10
"52";69;"2020-03-19";14;4;0;12
"52";79;"2020-03-19";18;4;0;5
"52";89;"2020-03-19";14;3;0;3
"52";90;"2020-03-19";7;0;1;0
"53";0;"2020-03-19";83;25;10;52
"53";9;"2020-03-19";0;0;0;2
"53";19;"2020-03-19";0;0;0;0
"53";29;"2020-03-19";0;0;0;3
"53";39;"2020-03-19";5;2;0;3
"53";49;"2020-03-19";2;0;0;1
"53";59;"2020-03-19";9;4;0;10
"53";69;"2020-03-19";13;0;1;13
"53";79;"2020-03-19";23;12;0;15
"53";89;"2020-03-19";27;7;5;4
"53";90;"2020-03-19";3;0;4;1
"75";0;"2020-03-19";59;12;3;21
"75";9;"2020-03-19";0;0;0;0
"75";19;"2020-03-19";0;0;0;1
"75";29;"2020-03-19";2;1;0;3
"75";39;"2020-03-19";3;0;0;3
"75";49;"2020-03-19";3;1;0;0
"75";59;"2020-03-19";7;2;1;4
"75";69;"2020-03-19";11;3;0;5
"75";79;"2020-03-19";11;3;0;3
"75";89;"2020-03-19";16;2;1;0
"75";90;"2020-03-19";5;0;1;1
"76";0;"2020-03-19";145;59;17;68
"76";9;"2020-03-19";1;0;0;7
"76";19;"2020-03-19";0;0;0;4
"76";29;"2020-03-19";2;0;1;5
"76";39;"2020-03-19";4;0;0;9
"76";49;"2020-03-19";7;4;0;7
"76";59;"2020-03-19";17;8;1;17
"76";69;"2020-03-19";34;18;1;4
"76";79;"2020-03-19";50;22;4;13
"76";89;"2020-03-19";23;6;9;2
"76";90;"2020-03-19";5;1;1;0
"84";0;"2020-03-19";408;74;28;145
"84";9;"2020-03-19";2;1;0;1
"84";19;"2020-03-19";0;0;0;2
"84";29;"2020-03-19";3;0;0;11
"84";39;"2020-03-19";11;0;1;17
"84";49;"2020-03-19";16;2;0;14
"84";59;"2020-03-19";32;11;1;23
"84";69;"2020-03-19";55;19;1;24
"84";79;"2020-03-19";109;32;5;33
"84";89;"2020-03-19";119;7;12;12
"84";90;"2020-03-19";54;0;8;8
"93";0;"2020-03-19";224;47;9;261
"93";9;"2020-03-19";1;0;0;5
"93";19;"2020-03-19";4;0;0;17
"93";29;"2020-03-19";4;1;0;38
"93";39;"2020-03-19";17;0;0;28
"93";49;"2020-03-19";26;4;0;50
"93";59;"2020-03-19";43;8;0;51
"93";69;"2020-03-19";48;9;1;35
"93";79;"2020-03-19";47;19;1;24
"93";89;"2020-03-19";25;5;6;12
"93";90;"2020-03-19";9;1;1;1
"94";0;"2020-03-19";54;14;1;10
"94";9;"2020-03-19";0;0;0;0
"94";19;"2020-03-19";0;0;0;0
"94";29;"2020-03-19";0;0;0;0
"94";39;"2020-03-19";1;0;0;1
"94";49;"2020-03-19";2;0;0;3
"94";59;"2020-03-19";4;3;0;1
"94";69;"2020-03-19";11;5;0;1
"94";79;"2020-03-19";17;4;0;1
"94";89;"2020-03-19";15;1;0;1
"94";90;"2020-03-19";3;0;1;1
"01";0;"2020-03-20";0;0;0;0
"01";9;"2020-03-20";0;0;0;0
"01";19;"2020-03-20";0;0;0;0
"01";29;"2020-03-20";0;0;0;0
"01";39;"2020-03-20";0;0;0;0
"01";49;"2020-03-20";0;0;0;0
"01";59;"2020-03-20";0;0;0;0
"01";69;"2020-03-20";0;0;0;0
"01";79;"2020-03-20";0;0;0;0
"01";89;"2020-03-20";0;0;0;0
"01";90;"2020-03-20";0;0;0;0
"02";0;"2020-03-20";19;5;1;0
"02";9;"2020-03-20";0;0;0;0
"02";19;"2020-03-20";0;0;0;0
"02";29;"2020-03-20";2;1;0;0
"02";39;"2020-03-20";3;0;0;0
"02";49;"2020-03-20";3;1;0;0
"02";59;"2020-03-20";6;0;0;0
"02";69;"2020-03-20";4;3;0;0
"02";79;"2020-03-20";1;0;0;0
"02";89;"2020-03-20";0;0;1;0
"02";90;"2020-03-20";0;0;0;0
"03";0;"2020-03-20";0;0;0;0
"03";9;"2020-03-20";0;0;0;0
"03";19;"2020-03-20";0;0;0;0
"03";29;"2020-03-20";0;0;0;0
"03";39;"2020-03-20";0;0;0;0
"03";49;"2020-03-20";0;0;0;0
"03";59;"2020-03-20";0;0;0;0
"03";69;"2020-03-20";0;0;0;0
"03";79;"2020-03-20";0;0;0;0
"03";89;"2020-03-20";0;0;0;0
"03";90;"2020-03-20";0;0;0;0
"04";0;"2020-03-20";2;2;0;0
"04";9;"2020-03-20";0;0;0;0
"04";19;"2020-03-20";0;0;0;0
"04";29;"2020-03-20";0;0;0;0
"04";39;"2020-03-20";0;0;0;0
"04";49;"2020-03-20";0;0;0;0
"04";59;"2020-03-20";0;0;0;0
"04";69;"2020-03-20";0;0;0;0
"04";79;"2020-03-20";1;1;0;0
"04";89;"2020-03-20";1;1;0;0
"04";90;"2020-03-20";0;0;0;0
"06";0;"2020-03-20";0;0;0;0
"06";9;"2020-03-20";0;0;0;0
"06";19;"2020-03-20";0;0;0;0
"06";29;"2020-03-20";0;0;0;0
"06";39;"2020-03-20";0;0;0;0
"06";49;"2020-03-20";0;0;0;0
"06";59;"2020-03-20";0;0;0;0
"06";69;"2020-03-20";0;0;0;0
"06";79;"2020-03-20";0;0;0;0
"06";89;"2020-03-20";0;0;0;0
"06";90;"2020-03-20";0;0;0;0
"11";0;"2020-03-20";1785;484;99;350
"11";9;"2020-03-20";9;2;0;6
"11";19;"2020-03-20";7;2;0;2
"11";29;"2020-03-20";27;6;0;31
"11";39;"2020-03-20";100;29;0;49
"11";49;"2020-03-20";170;48;4;35
"11";59;"2020-03-20";304;121;3;72
"11";69;"2020-03-20";340;117;11;58
"11";79;"2020-03-20";359;104;27;47
"11";89;"2020-03-20";297;46;41;38
"11";90;"2020-03-20";130;3;9;9
"24";0;"2020-03-20";58;13;2;2
"24";9;"2020-03-20";0;0;0;0
"24";19;"2020-03-20";0;0;0;0
"24";29;"2020-03-20";1;0;0;0
"24";39;"2020-03-20";1;0;0;0
"24";49;"2020-03-20";2;0;0;0
"24";59;"2020-03-20";5;2;0;2
"24";69;"2020-03-20";16;4;0;0
"24";79;"2020-03-20";16;6;1;0
"24";89;"2020-03-20";11;1;1;0
"24";90;"2020-03-20";6;0;0;0
"27";0;"2020-03-20";270;71;22;68
"27";9;"2020-03-20";0;0;0;0
"27";19;"2020-03-20";0;0;0;1
"27";29;"2020-03-20";2;1;0;8
"27";39;"2020-03-20";6;1;0;6
"27";49;"2020-03-20";13;3;0;6
"27";59;"2020-03-20";30;12;1;13
"27";69;"2020-03-20";61;22;1;4
"27";79;"2020-03-20";60;19;7;8
"27";89;"2020-03-20";69;13;10;14
"27";90;"2020-03-20";29;0;3;7
"28";0;"2020-03-20";71;13;7;14
"28";9;"2020-03-20";0;0;0;0
"28";19;"2020-03-20";0;0;0;0
"28";29;"2020-03-20";1;0;0;2
"28";39;"2020-03-20";2;1;0;0
"28";49;"2020-03-20";4;0;0;2
"28";59;"2020-03-20";8;1;0;4
"28";69;"2020-03-20";13;6;1;4
"28";79;"2020-03-20";21;3;1;1
"28";89;"2020-03-20";17;2;4;1
"28";90;"2020-03-20";5;0;1;0
"32";0;"2020-03-20";432;136;51;156
"32";9;"2020-03-20";7;0;0;19
"32";19;"2020-03-20";4;1;0;5
"32";29;"2020-03-20";15;1;0;11
"32";39;"2020-03-20";19;7;0;26
"32";49;"2020-03-20";28;6;0;25
"32";59;"2020-03-20";48;23;0;23
"32";69;"2020-03-20";78;42;7;10
"32";79;"2020-03-20";97;45;17;14
"32";89;"2020-03-20";103;10;23;13
"32";90;"2020-03-20";32;0;4;7
"44";0;"2020-03-20";1364;294;183;284
"44";9;"2020-03-20";7;0;0;40
"44";19;"2020-03-20";1;1;0;5
"44";29;"2020-03-20";13;1;0;15
"44";39;"2020-03-20";34;10;0;16
"44";49;"2020-03-20";67;23;2;21
"44";59;"2020-03-20";146;50;5;44
"44";69;"2020-03-20";279;93;14;40
"44";79;"2020-03-20";339;91;33;42
"44";89;"2020-03-20";309;19;87;34
"44";90;"2020-03-20";111;0;40;13
"52";0;"2020-03-20";73;17;1;62
"52";9;"2020-03-20";0;0;0;0
"52";19;"2020-03-20";0;0;0;0
"52";29;"2020-03-20";0;0;0;8
"52";39;"2020-03-20";0;0;0;4
"52";49;"2020-03-20";4;1;0;15
"52";59;"2020-03-20";8;2;0;11
"52";69;"2020-03-20";16;5;0;15
"52";79;"2020-03-20";21;6;0;5
"52";89;"2020-03-20";15;3;0;4
"52";90;"2020-03-20";8;0;1;0
"53";0;"2020-03-20";94;25;12;55
"53";9;"2020-03-20";0;0;0;2
"53";19;"2020-03-20";0;0;0;0
"53";29;"2020-03-20";1;0;0;3
"53";39;"2020-03-20";4;2;0;4
"53";49;"2020-03-20";2;0;0;1
"53";59;"2020-03-20";10;4;0;10
"53";69;"2020-03-20";15;0;1;14
"53";79;"2020-03-20";24;12;1;16
"53";89;"2020-03-20";30;7;6;4
"53";90;"2020-03-20";7;0;4;1
"75";0;"2020-03-20";65;15;4;31
"75";9;"2020-03-20";0;0;0;0
"75";19;"2020-03-20";0;0;0;1
"75";29;"2020-03-20";3;1;0;4
"75";39;"2020-03-20";1;0;0;7
"75";49;"2020-03-20";3;1;0;2
"75";59;"2020-03-20";8;2;1;4
"75";69;"2020-03-20";11;4;1;7
"75";79;"2020-03-20";12;5;0;4
"75";89;"2020-03-20";21;2;1;0
"75";90;"2020-03-20";5;0;1;1
"76";0;"2020-03-20";183;66;21;73
"76";9;"2020-03-20";1;0;0;7
"76";19;"2020-03-20";0;0;0;4
"76";29;"2020-03-20";3;0;1;5
"76";39;"2020-03-20";4;1;0;9
"76";49;"2020-03-20";13;6;0;7
"76";59;"2020-03-20";21;9;1;18
"76";69;"2020-03-20";49;20;0;4
"76";79;"2020-03-20";56;24;5;16
"76";89;"2020-03-20";28;5;12;2
"76";90;"2020-03-20";7;1;2;0
"84";0;"2020-03-20";463;87;33;179
"84";9;"2020-03-20";2;1;0;1
"84";19;"2020-03-20";0;0;0;2
"84";29;"2020-03-20";2;0;0;12
"84";39;"2020-03-20";13;2;1;19
"84";49;"2020-03-20";19;3;0;18
"84";59;"2020-03-20";39;13;1;27
"84";69;"2020-03-20";66;21;1;29
"84";79;"2020-03-20";120;36;7;41
"84";89;"2020-03-20";135;9;14;20
"84";90;"2020-03-20";58;0;9;8
"93";0;"2020-03-20";281;55;11;280
"93";9;"2020-03-20";2;0;0;5
"93";19;"2020-03-20";5;0;0;17
"93";29;"2020-03-20";6;1;0;41
"93";39;"2020-03-20";23;0;0;32
"93";49;"2020-03-20";37;5;0;53
"93";59;"2020-03-20";50;7;0;55
"93";69;"2020-03-20";62;13;1;37
"93";79;"2020-03-20";51;21;2;26
"93";89;"2020-03-20";32;7;7;13
"93";90;"2020-03-20";13;1;1;1
"94";0;"2020-03-20";66;14;3;33
"94";9;"2020-03-20";2;0;0;0
"94";19;"2020-03-20";0;0;0;1
"94";29;"2020-03-20";2;0;0;6
"94";39;"2020-03-20";1;0;0;6
"94";49;"2020-03-20";2;0;0;7
"94";59;"2020-03-20";10;3;0;5
"94";69;"2020-03-20";12;5;1;5
"94";79;"2020-03-20";17;4;1;1
"94";89;"2020-03-20";16;1;0;1
"94";90;"2020-03-20";3;0;1;1
"01";0;"2020-03-21";0;0;0;0
"01";9;"2020-03-21";0;0;0;0
"01";19;"2020-03-21";0;0;0;0
"01";29;"2020-03-21";0;0;0;0
"01";39;"2020-03-21";0;0;0;0
"01";49;"2020-03-21";0;0;0;0
"01";59;"2020-03-21";0;0;0;0
"01";69;"2020-03-21";0;0;0;0
"01";79;"2020-03-21";0;0;0;0
"01";89;"2020-03-21";0;0;0;0
"01";90;"2020-03-21";0;0;0;0
"02";0;"2020-03-21";19;5;1;0
"02";9;"2020-03-21";0;0;0;0
"02";19;"2020-03-21";0;0;0;0
"02";29;"2020-03-21";2;1;0;0
"02";39;"2020-03-21";3;0;0;0
"02";49;"2020-03-21";3;1;0;0
"02";59;"2020-03-21";6;0;0;0
"02";69;"2020-03-21";4;3;0;0
"02";79;"2020-03-21";1;0;0;0
"02";89;"2020-03-21";0;0;1;0
"02";90;"2020-03-21";0;0;0;0
"03";0;"2020-03-21";0;0;0;0
"03";9;"2020-03-21";0;0;0;0
"03";19;"2020-03-21";0;0;0;0
"03";29;"2020-03-21";0;0;0;0
"03";39;"2020-03-21";0;0;0;0
"03";49;"2020-03-21";0;0;0;0
"03";59;"2020-03-21";0;0;0;0
"03";69;"2020-03-21";0;0;0;0
"03";79;"2020-03-21";0;0;0;0
"03";89;"2020-03-21";0;0;0;0
"03";90;"2020-03-21";0;0;0;0
"04";0;"2020-03-21";2;2;0;0
"04";9;"2020-03-21";0;0;0;0
"04";19;"2020-03-21";0;0;0;0
"04";29;"2020-03-21";0;0;0;0
"04";39;"2020-03-21";0;0;0;0
"04";49;"2020-03-21";0;0;0;0
"04";59;"2020-03-21";0;0;0;0
"04";69;"2020-03-21";0;0;0;0
"04";79;"2020-03-21";1;1;0;0
"04";89;"2020-03-21";1;1;0;0
"04";90;"2020-03-21";0;0;0;0
"06";0;"2020-03-21";0;0;0;0
"06";9;"2020-03-21";0;0;0;0
"06";19;"2020-03-21";0;0;0;0
"06";29;"2020-03-21";0;0;0;0
"06";39;"2020-03-21";0;0;0;0
"06";49;"2020-03-21";0;0;0;0
"06";59;"2020-03-21";0;0;0;0
"06";69;"2020-03-21";0;0;0;0
"06";79;"2020-03-21";0;0;0;0
"06";89;"2020-03-21";0;0;0;0
"06";90;"2020-03-21";0;0;0;0
"11";0;"2020-03-21";2178;567;126;457
"11";9;"2020-03-21";11;3;0;8
"11";19;"2020-03-21";7;2;0;3
"11";29;"2020-03-21";29;7;0;36
"11";39;"2020-03-21";120;33;0;68
"11";49;"2020-03-21";197;60;4;50
"11";59;"2020-03-21";374;141;5;91
"11";69;"2020-03-21";412;132;16;76
"11";79;"2020-03-21";440;128;33;63
"11";89;"2020-03-21";382;53;51;47
"11";90;"2020-03-21";162;3;13;11
"24";0;"2020-03-21";64;15;3;6
"24";9;"2020-03-21";0;0;0;0
"24";19;"2020-03-21";1;0;0;0
"24";29;"2020-03-21";1;0;0;0
